gage_height_va	discharge_va
3.33	377
6.84	2860
3.74	584
4.36	1140
3.68	510
3.38	304
5.94	2270
2.91	141
2.98	158
2.66	81.0
2.83	126
2.70	92.7
3.56	443
3.92	721
5.14	1770
3.45	352
3.58	467
3.36	275
3.16	206
3.42	317
3.94	680
3.66	577
3.70	571
3.15	231
3.37	290
3.11	257
2.76	99.9
2.66	86.4
4.00	1020
3.39	413
3.28	356
2.54	58.9
2.44	51.1
2.61	63.6
3.51	425
3.57	569
25.58	30300
3.79	671
2.43	40.8
3.20	264
3.43	425
3.55	478
3.24	242
2.71	100
2.56	60.9
2.51	56.5
3.57	526
3.17	285
3.58	536
3.10	242
3.38	366
3.74	550
3.76	618
3.60	502
2.79	134
2.60	84.7
16.99	10000
3.87	953
3.63	544
3.09	279
2.57	79.8
2.58	78.4
3.36	426
3.15	324
3.35	406
2.99	219
3.36	418
3.42	440
3.03	233
2.48	71.3
2.68	116
3.33	383
2.87	170
2.81	136
3.23	364
3.23	370
3.27	378
3.11	302
2.58	91.6
2.88	191
3.19	377
3.39	470
3.25	387
3.04	255
3.36	455
3.44	469
3.26	334
3.34	474
2.96	237
2.68	142
2.93	221
3.12	340
4.76	2080
3.76	850
2.90	183
2.43	62.9
2.61	115
3.33	442
3.56	631
7.69	4080
3.10	269
2.34	58.2
2.08	25.4
2.43	74.6
3.29	445
3.28	385
3.29	461
3.16	368
3.08	248
3.04	281
3.05	292
2.72	124
2.86	190
3.10	365
3.32	487
2.69	134
2.73	146
2.50	92.3
2.35	50.1
2.24	38.9
2.53	99.9
2.50	95.3
3.23	429
2.82	144
2.29	40.6
2.09	26.7
2.25	47.9
3.56	725
3.10	400
4.16	1320
3.14	309
3.18	349
3.42	519
3.66	689
3.47	560
3.21	370
3.14	288
2.75	142
3.19	349
3.62	667
3.52	616
3.57	599
3.28	365
2.74	147
2.34	60.9
3.02	341
3.34	524
3.53	772
3.02	292
2.93	235
2.79	193
2.27	50.7
3.23	444
3.45	582
3.20	413
3.37	430
2.89	228
2.39	61.6
2.26	51.8
2.10	33.2
2.57	115
2.72	180
3.05	350
6.84	3720
6.55	3480
4.85	1960
4.76	1980
11.77	10900
13.29	11900
2.96	232
3.43	514
2.51	104
2.06	25.4
2.81	204
2.77	207
2.61	150
4.13	1170
3.42	440
2.63	133
2.63	146
3.21	425
5.66	2370
3.43	514
3.06	247
2.41	69.8
2.96	285
2.78	184
5.93	2600
4.97	1730
19.09	13800
19.03	13600
8.29	4600
3.02	266
2.33	55.0
3.16	332
3.86	600
3.44	512
3.37	415
2.89	232
2.84	173
2.77	211
2.86	236
3.82	842
3.27	367
3.00	272
3.33	466
3.14	341
3.93	953
5.00	1680
3.63	603
2.69	134
2.47	106
2.43	96.7
2.65	149
3.28	452
3.45	557
3.35	513
3.48	515
2.46	96.1
9.71	5490
5.04	1830
3.93	844
3.40	447
3.18	387
2.57	124
4.56           150.00
2.93	272
2.51	84.6
2.54	110
2.22	52.3
2.66	154
4.33           10.00
3.09	366
23.00	19700
22.08	17200
2.97	295
5.82	2340
5.20	1800
7.83	3940
