H S Q
4.25	-0.11	1137.91	
4.26	-0.11	1146.08	
4.27	-0.11	1154.24	
4.28	-0.11	1162.41	
4.29	-0.11	1170.57	
4.30	-0.11	1178.74	
4.31	-0.11	1186.90	
4.32	-0.11	1195.06	
4.33	-0.11	1203.22	
4.34	-0.11	1211.37	
4.35	-0.11	1219.53	
4.36	-0.11	1227.68	
4.37	-0.11	1235.84	
4.38	-0.11	1243.99	
4.39	-0.11	1252.14	
4.40	-0.11	1260.29	
4.41	-0.11	1268.43	
4.42	-0.11	1276.58	
4.43	-0.11	1284.73	
4.44	-0.11	1292.87	
4.45	-0.11	1301.01	
4.46	-0.11	1309.15	
4.47	-0.11	1317.29	
4.48	-0.11	1325.43	
4.49	-0.11	1333.57	
4.50	-0.11	1341.70	
4.51	-0.11	1349.84	
4.52	-0.11	1357.97	
4.53	-0.11	1366.10	
4.54	-0.11	1374.23	
4.55	-0.11	1382.36	
4.56	-0.11	1390.49	
4.57	-0.11	1398.62	
4.58	-0.11	1406.74	
4.59	-0.11	1414.87	
4.60	-0.11	1422.99	
4.61	-0.11	1431.11	
4.62	-0.11	1439.23	
4.63	-0.11	1447.35	
4.64	-0.11	1455.47	
4.65	-0.11	1463.59	
4.66	-0.11	1471.71	
4.67	-0.11	1479.82	
4.68	-0.11	1487.94	
4.69	-0.11	1496.05	
4.70	-0.11	1504.16	
4.71	-0.11	1512.27	
4.72	-0.11	1520.38	
4.73	-0.11	1528.49	
4.74	-0.11	1536.60	
4.75	-0.11	1544.70	
4.76	-0.11	1552.81	
4.77	-0.11	1560.91	
4.78	-0.11	1569.02	
4.79	-0.11	1577.12	
4.80	-0.11	1585.22	
4.81	-0.11	1593.32	
4.82	-0.11	1601.42	
4.83	-0.11	1609.51	
4.84	-0.11	1617.61	
4.85	-0.11	1625.71	
4.86	-0.11	1633.80	
4.87	-0.11	1641.90	
4.88	-0.11	1649.99	
4.89	-0.11	1658.08	
4.90	-0.11	1666.17	
4.91	-0.11	1674.26	
4.92	-0.11	1682.35	
4.93	-0.11	1690.44	
4.94	-0.11	1698.52	
4.95	-0.11	1706.61	
4.96	-0.11	1714.69	
4.97	-0.11	1722.78	
4.98	-0.11	1730.86	
4.99	-0.11	1738.94	
5.00	-0.11	1747.02	
5.01	-0.11	1755.10	
5.02	-0.11	1763.18	
5.03	-0.12	1771.26	
5.04	-0.12	1779.33	
5.05	-0.12	1787.41	
5.06	-0.12	1795.49	
5.07	-0.12	1803.56	
5.08	-0.12	1811.63	
5.09	-0.12	1819.71	
5.10	-0.12	1827.78	
5.11	-0.12	1835.85	
5.12	-0.12	1843.92	
5.13	-0.12	1851.99	
5.14	-0.12	1860.05	
5.15	-0.12	1868.12	
5.16	-0.12	1876.19	
5.17	-0.12	1884.25	
5.18	-0.12	1892.32	
5.19	-0.12	1900.38	
5.20	-0.12	1908.44	
5.21	-0.12	1916.50	
5.22	-0.12	1924.56	
5.23	-0.12	1932.62	
5.24	-0.12	1940.68	
5.25	-0.12	1948.74	
5.26	-0.12	1956.80	
5.27	-0.12	1964.85	
5.28	-0.12	1972.91	
5.29	-0.12	1980.96	
5.30	-0.12	1989.02	
5.31	-0.12	1997.07	
5.32	-0.12	2005.12	
5.33	-0.12	2013.18	
5.34	-0.12	2021.23	
5.35	-0.12	2029.28	
5.36	-0.12	2037.32	
5.37	-0.12	2045.37	
5.38	-0.12	2053.42	
5.39	-0.12	2061.47	
5.40	-0.12	2069.51	
5.41	-0.12	2077.56	
5.42	-0.12	2085.60	
5.43	-0.12	2093.64	
5.44	-0.12	2101.69	
5.45	-0.12	2109.73	
5.46	-0.12	2117.77	
5.47	-0.12	2125.81	
5.48	-0.12	2133.85	
5.49	-0.12	2141.89	
5.50	-0.12	2149.93	
5.51	-0.12	2157.96	
5.52	-0.12	2166.00	
5.53	-0.12	2174.03	
5.54	-0.12	2182.07	
5.55	-0.12	2190.10	
5.56	-0.12	2198.14	
5.57	-0.12	2206.17	
5.58	-0.12	2214.20	
5.59	-0.12	2222.23	
5.60	-0.12	2230.26	
5.61	-0.12	2238.29	
5.62	-0.12	2246.32	
5.63	-0.12	2254.35	
5.64	-0.12	2262.38	
5.65	-0.12	2270.40	
5.66	-0.12	2278.43	
5.67	-0.12	2286.45	
5.68	-0.12	2294.48	
5.69	-0.12	2302.50	
5.70	-0.12	2310.53	
5.71	-0.12	2318.55	
5.72	-0.12	2326.57	
5.73	-0.12	2334.59	
5.74	-0.12	2342.61	
5.75	-0.12	2350.63	
5.76	-0.12	2358.65	
5.77	-0.12	2366.67	
5.78	-0.12	2374.68	
5.79	-0.12	2382.70	
5.80	-0.12	2390.72	
5.81	-0.12	2398.73	
5.82	-0.12	2406.75	
5.83	-0.12	2414.76	
5.84	-0.12	2422.77	
5.85	-0.12	2430.79	
5.86	-0.12	2438.80	
5.87	-0.12	2446.81	
5.88	-0.12	2454.82	
5.89	-0.12	2462.83	
5.90	-0.12	2470.84	
5.91	-0.12	2478.85	
5.92	-0.12	2486.86	
5.93	-0.12	2494.86	
5.94	-0.12	2502.87	
5.95	-0.13	2510.88	
5.96	-0.13	2518.88	
5.97	-0.13	2526.89	
5.98	-0.13	2534.89	
5.99	-0.13	2542.89	
6.00	-0.13	2550.90	
6.01	-0.13	2558.90	
6.02	-0.13	2566.90	
6.03	-0.13	2574.90	
6.04	-0.13	2582.90	
6.05	-0.13	2590.90	
6.06	-0.13	2598.90	
6.07	-0.13	2606.90	
6.08	-0.13	2614.89	
6.09	-0.13	2622.89	
6.10	-0.13	2630.89	
6.11	-0.13	2638.88	
6.12	-0.13	2646.88	
6.13	-0.13	2654.87	
6.14	-0.13	2662.87	
6.15	-0.13	2670.86	
6.16	-0.13	2678.85	
6.17	-0.13	2686.84	
6.18	-0.13	2694.84	
6.19	-0.13	2702.83	
6.20	-0.13	2710.82	
6.21	-0.13	2718.81	
6.22	-0.13	2726.80	
6.23	-0.13	2734.78	
6.24	-0.13	2742.77	
6.25	-0.13	2750.76	
6.26	-0.13	2758.75	
6.27	-0.13	2766.73	
6.28	-0.13	2774.72	
6.29	-0.13	2782.70	
6.30	-0.13	2790.69	
6.31	-0.13	2798.67	
6.32	-0.13	2806.65	
6.33	-0.13	2814.64	
6.34	-0.13	2822.62	
6.35	-0.13	2830.60	
6.36	-0.13	2838.58	
6.37	-0.13	2846.56	
6.38	-0.13	2854.54	
6.39	-0.13	2862.52	
6.40	-0.13	2870.50	
6.41	-0.13	2878.48	
6.42	-0.13	2886.45	
6.43	-0.13	2894.43	
6.44	-0.13	2902.41	
6.45	-0.13	2910.38	
6.46	-0.13	2918.36	
6.47	-0.13	2926.33	
6.48	-0.13	2934.31	
6.49	-0.13	2942.28	
6.50	-0.13	2950.25	
6.51	-0.13	2958.22	
6.52	-0.13	2966.20	
6.53	-0.13	2974.17	
6.54	-0.13	2982.14	
6.55	-0.13	2990.11	
6.56	-0.13	2998.08	
6.57	-0.13	3006.05	
6.58	-0.13	3014.02	
6.59	-0.13	3021.98	
6.60	-0.13	3029.95	
6.61	-0.13	3037.92	
6.62	-0.13	3045.88	
6.63	-0.13	3053.85	
6.64	-0.13	3061.82	
6.65	-0.13	3069.78	
6.66	-0.13	3077.74	
6.67	-0.13	3085.71	
6.68	-0.13	3093.67	
6.69	-0.13	3101.63	
6.70	-0.13	3109.60	
6.71	-0.13	3117.56	
6.72	-0.13	3125.52	
6.73	-0.13	3133.48	
6.74	-0.13	3141.44	
6.75	-0.13	3149.40	
6.76	-0.13	3157.36	
6.77	-0.13	3165.32	
6.78	-0.13	3173.28	
6.79	-0.13	3181.23	
6.80	-0.13	3189.19	
6.81	-0.13	3197.15	
6.82	-0.13	3205.10	
6.83	-0.13	3213.06	
6.84	-0.13	3221.01	
6.85	-0.13	3228.97	
6.86	-0.13	3236.92	
6.87	-0.14	3244.87	
6.88	-0.14	3252.83	
6.89	-0.14	3260.78	
6.90	-0.14	3268.73	
6.91	-0.14	3276.68	
6.92	-0.14	3284.63	
6.93	-0.14	3292.59	
6.94	-0.14	3300.54	
6.95	-0.14	3308.49	
6.96	-0.14	3316.43	
6.97	-0.14	3324.38	
6.98	-0.14	3332.33	
6.99	-0.14	3340.28	
7.00	-0.14	3348.23	
7.01	-0.14	3356.17	
7.02	-0.14	3364.12	
7.03	-0.14	3372.06	
7.04	-0.14	3380.01	
7.05	-0.14	3387.95	
7.06	-0.14	3395.90	
7.07	-0.14	3403.84	
7.08	-0.14	3411.79	
7.09	-0.14	3419.73	
7.10	-0.14	3427.67	
7.11	-0.14	3435.61	
7.12	-0.14	3443.55	
7.13	-0.14	3451.49	
7.14	-0.14	3459.43	
7.15	-0.14	3467.37	
7.16	-0.14	3475.31	
7.17	-0.14	3483.25	
7.18	-0.14	3491.19	
7.19	-0.14	3499.13	
7.20	-0.14	3507.07	
7.21	-0.14	3515.01	
7.22	-0.14	3522.94	
7.23	-0.14	3530.88	
7.24	-0.14	3538.81	
7.25	-0.14	3546.75	
7.26	-0.14	3554.68	
7.27	-0.14	3562.62	
7.28	-0.14	3570.55	
7.29	-0.14	3578.49	
7.30	-0.14	3586.42	
7.31	-0.14	3594.35	
7.32	-0.14	3602.28	
7.33	-0.14	3610.22	
7.34	-0.14	3618.15	
7.35	-0.14	3626.08	
7.36	-0.14	3634.01	
7.37	-0.14	3641.94	
7.38	-0.14	3649.87	
7.39	-0.14	3657.80	
7.40	-0.14	3665.73	
7.41	-0.14	3673.65	
7.42	-0.14	3681.58	
7.43	-0.14	3689.51	
7.44	-0.14	3697.44	
7.45	-0.14	3705.36	
7.46	-0.14	3713.29	
7.47	-0.14	3721.21	
7.48	-0.14	3729.14	
7.49	-0.14	3737.06	
7.50	-0.14	3744.99	
7.51	-0.14	3752.91	
7.52	-0.14	3760.84	
7.53	-0.14	3768.76	
7.54	-0.14	3776.68	
7.55	-0.14	3784.60	
7.56	-0.14	3792.53	
7.57	-0.14	3800.45	
7.58	-0.14	3808.37	
7.59	-0.14	3816.29	
7.60	-0.14	3824.21	
7.61	-0.14	3832.13	
7.62	-0.14	3840.05	
7.63	-0.14	3847.97	
7.64	-0.14	3855.89	
7.65	-0.14	3863.80	
7.66	-0.14	3871.72	
7.67	-0.14	3879.64	
7.68	-0.14	3887.56	
7.69	-0.14	3895.47	
7.70	-0.14	3903.39	
7.71	-0.14	3911.30	
7.72	-0.14	3919.22	
7.73	-0.14	3927.13	
7.74	-0.14	3935.05	
7.75	-0.14	3942.96	
7.76	-0.14	3950.87	
7.77	-0.14	3958.79	
7.78	-0.14	3966.70	
7.79	-0.15	3974.61	
7.80	-0.15	3982.52	
7.81	-0.15	3990.44	
7.82	-0.15	3998.35	
7.83	-0.15	4006.26	
7.84	-0.15	4014.17	
7.85	-0.15	4022.08	
7.86	-0.15	4029.99	
7.87	-0.15	4037.90	
7.88	-0.15	4045.80	
7.89	-0.15	4053.71	
7.90	-0.15	4061.62	
7.91	-0.15	4069.53	
7.92	-0.15	4077.44	
7.93	-0.15	4085.34	
7.94	-0.15	4093.25	
